------------------------------------------------------------------------------------------------------------------------------
           Observed  |             Ritz    |     Aki    | Acc. |                  Ei           Ek                  | Configurations  |    Terms   |Type|
          Wavelength |          Wavelength |     s^-1   |      |                 (eV)         (eV)                 |                 |            |    |
           Vac  (Å)  |           Vac  (Å)  |            |      |                                                   |                 |            |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
                     |     162025.74590462 |  8.0287e 00| AAA  |    24.3748270523835     -     24.4513483421703    |  1s.8i - 1s.10h |  3I  - 3H* |    |
                     |     162025.80511479 |  6.5645e 02| AAA  |    24.3748270523835     -     24.4513483142065    |  1s.8i - 1s.10h |  3I  - 3H* |    |
                     |     162025.80708343 |  8.968e 00 | AA   |    24.3748271255972     -     24.4513483864904    |  1s.8i - 1s.10h |  3I  - 1H* |    |
                     |     162025.82701733 |  6.5023e 02| AAA  |    24.3748270906913     -     24.4513483421703    |  1s.8i - 1s.10h |  3I  - 3H* |    |
                     |     162025.84718725 |  6.6600e 02| AAA  |    24.3748271255972     -     24.4513483675503    |  1s.8i - 1s.10h |  3I  - 3H* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     162025.86580352 |  6.5697e 02| AAA  |    24.3748271533294     -     24.4513483864904    |  1s.8i - 1s.10h |  1I  - 1H* |    |
                     |     162025.95964717 |  7.625e 00 | AA   |    24.3748271533294     -     24.4513483421703    |  1s.8i - 1s.10h |  1I  - 3H* |    |
                     |     162025.96013729 |  9.5322e 00| AAA  |    24.3748271255972     -     24.4513483142065    |  1s.8i - 1s.10h |  3I  - 3H* |    |
                     |     162027.4325023  |  2.8131e 01| AAA  |    24.3748258143104     -     24.4513463075614    |  1s.8h - 1s.10g |  3H* - 3G  |    |
                     |     162027.5145647  |  3.201e 01 | AA   |    24.3748259184985     -     24.4513463729940    |  1s.8h - 1s.10g |  3H* - 1G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     162027.5231655  |  1.6335e 03| AAA  |    24.3748258143104     -     24.4513462647440    |  1s.8h - 1s.10g |  3H* - 3G  |    |
                     |     162027.5481498  |  1.6131e 03| AAA  |    24.3748258689271     -     24.4513463075614    |  1s.8h - 1s.10g |  3H* - 3G  |    |
                     |     162027.5704763  |  1.6682e 03| AAA  |    24.3748259184985     -     24.4513463465888    |  1s.8h - 1s.10g |  3H* - 3G  |    |
                     |     162027.5928929  |  1.6358e 03| AAA  |    24.3748259554903     -     24.4513463729940    |  1s.8h - 1s.10g |  1H* - 1G  |    |
                     |     162027.6531146  |  5.5147e-01| AAA  |    24.3748259184985     -     24.4513463075614    |  1s.8h - 1s.10g |  3H* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     162027.7314428  |  2.647e 01 | AA   |    24.3748259554903     -     24.4513463075614    |  1s.8h - 1s.10g |  1H* - 3G  |    |
                     |     162027.7437780  |  3.4716e 01| AAA  |    24.3748259184985     -     24.4513462647440    |  1s.8h - 1s.10g |  3H* - 3G  |    |
                     |     162036.7142549  |  2.732e 02 | AA   |    24.3748219199859     -     24.4513380300064    |  1s.8g - 1s.10f |  3G  - 1F* |    |
                     |     162037.0529025  |  4.723e 01 | AA   |    24.3748220799000     -     24.4513380300064    |  1s.8g - 1s.10f |  3G  - 1F* |    |
                     |     162037.0950985  |  8.6301e 01| AAA  |    24.3748219199859     -     24.4513378501668    |  1s.8g - 1s.10f |  3G  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     162037.1619836  |  3.0937e 03| AAA  |    24.3748221314095     -     24.4513380300064    |  1s.8g - 1s.10f |  1G  - 1F* |    |
                     |     162037.1723053  |  3.0300e 03| AAA  |    24.3748219199859     -     24.4513378137089    |  1s.8g - 1s.10f |  3G  - 3F* |    |
                     |     162037.2723163  |  3.2457e 03| AAA  |    24.3748220036703     -     24.4513378501668    |  1s.8g - 1s.10f |  3G  - 3F* |    |
                     |     162037.2891122  |  3.4143e 03| AAA  |    24.3748220799000     -     24.4513379184654    |  1s.8g - 1s.10f |  3G  - 3F* |    |
                     |     162037.4337477  |  2.6345e 00| AAA  |    24.3748220799000     -     24.4513378501668    |  1s.8g - 1s.10f |  3G  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     162037.5109548  |  1.6616e 02| AAA  |    24.3748220799000     -     24.4513378137089    |  1s.8g - 1s.10f |  3G  - 3F* |    |
                     |     162037.5428293  |  7.967e 01 | AA   |    24.3748221314095     -     24.4513378501668    |  1s.8g - 1s.10f |  1G  - 3F* |    |
                     |     162037.6200365  |  2.181e 02 | AA   |    24.3748221314095     -     24.4513378137089    |  1s.8g - 1s.10f |  1G  - 3F* |    |
                     |     162097.996690   |  1.453e 03 | AA   |    24.3748056909070     -     24.4512928734042    |  1s.8f - 1s.10d |  3F* - 1D  |    |
                     |     162098.872329   |  4.8993e 03| AAA  |    24.3748061040817     -     24.4512928734042    |  1s.8f - 1s.10d |  1F* - 1D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     162140.991416   |  4.3875e 03| AAA  |    24.3748056909070     -     24.451272591392     |  1s.8f - 1s.10d |  3F* - 3D  |    |
                     |     162141.013474   |  3.8776e 02| AAA  |    24.3748056909070     -     24.451272580990     |  1s.8f - 1s.10d |  3F* - 3D  |    |
                     |     162141.123799   |  6.3933e 03| AAA  |    24.3748058994448     -     24.451272737498     |  1s.8f - 1s.10d |  3F* - 3D  |    |
                     |     162141.172760   |  5.8714e 03| AAA  |    24.3748057660277     -     24.451272580990     |  1s.8f - 1s.10d |  3F* - 3D  |    |
                     |     162141.433602   |  7.1031e 02| AAA  |    24.3748058994448     -     24.451272591392     |  1s.8f - 1s.10d |  3F* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     162141.455660   |  1.4497e 01| AAA  |    24.3748058994448     -     24.451272580990     |  1s.8f - 1s.10d |  3F* - 3D  |    |
                     |     162141.867520   |  1.295e 03 | AA   |    24.3748061040817     -     24.451272591392     |  1s.8f - 1s.10d |  1F* - 3D  |    |
                     |     162141.889577   |  1.196e 02 | AA   |    24.3748061040817     -     24.451272580990     |  1s.8f - 1s.10d |  1F* - 3D  |    |
                     |     163508.4242     |  2.9119e 04| AAA  |    24.37546547115       -     24.4512928734042    |  1s.8p - 1s.10d |  1P* - 1D  |    |
                     |     163552.1705     |  2.159e 00 | AA   |    24.37546547115       -     24.451272591392     |  1s.8p - 1s.10d |  1P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     165761.79693    |  1.6855e 04| AAA  |    24.374679959533      -     24.44947656095      |  1s.8d - 1s.10p |  3D  - 3P* |    |
                     |     165763.00873    |  1.2641e 04| AAA  |    24.374679673987      -     24.44947572861      |  1s.8d - 1s.10p |  3D  - 3P* |    |
                     |     165763.11410    |  1.4159e 04| AAA  |    24.374679653829      -     24.44947566090      |  1s.8d - 1s.10p |  3D  - 3P* |    |
                     |     165763.15877    |  2.5281e 03| AAA  |    24.374679673987      -     24.44947566090      |  1s.8d - 1s.10p |  3D  - 3P* |    |
                     |     165763.64156    |  4.2139e 03| AAA  |    24.374679959533      -     24.44947572861      |  1s.8d - 1s.10p |  3D  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     165763.79160    |  1.6855e 02| AAA  |    24.374679959533      -     24.44947566090      |  1s.8d - 1s.10p |  3D  - 3P* |    |
                     |     172216.2493     |  4.7328e 04| AAA  |    24.37546547115       -     24.44745878833      |  1s.8p - 1s.10s |  1P* - 1S  |    |
                     |     172854.4420     |  3.0758e 04| AAA  |    24.37116465485       -     24.44289216681      |  1s.8p - 1s.10s |  3P* - 3S  |    |
                     |     172854.7632     |  1.8455e 04| AAA  |    24.37116478815       -     24.44289216681      |  1s.8p - 1s.10s |  3P* - 3S  |    |
                     |     172858.7095     |  6.1515e 03| AAA  |    24.37116642567       -     24.44289216681      |  1s.8p - 1s.10s |  3P* - 3S  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     176038.0444     |  1.167e 00 | AA   |    24.30428797980       -     24.374718318287     |  1s.7p - 1s.8d  |  3P* - 1D  |    |
                     |     176038.5446     |  3.210e 00 | AA   |    24.30428817993       -     24.374718318287     |  1s.7p - 1s.8d  |  3P* - 1D  |    |
                     |     176133.9730     |  1.5952e 03| AAA  |    24.30428797980       -     24.374679959533     |  1s.7p - 1s.8d  |  3P* - 3D  |    |
                     |     176134.4737     |  2.3928e 04| AAA  |    24.30428817993       -     24.374679959533     |  1s.7p - 1s.8d  |  3P* - 3D  |    |
                     |     176134.6875     |  1.4356e 04| AAA  |    24.30428797980       -     24.374679673987     |  1s.7p - 1s.8d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     176134.7379     |  5.7427e 04| AAA  |    24.30428797980       -     24.374679653829     |  1s.7p - 1s.8d  |  3P* - 3D  |    |
                     |     176135.1882     |  4.3067e 04| AAA  |    24.30428817993       -     24.374679673987     |  1s.7p - 1s.8d  |  3P* - 3D  |    |
                     |     176140.6240     |  3.1904e 04| AAA  |    24.30429063780       -     24.374679959533     |  1s.7p - 1s.8d  |  3P* - 3D  |    |
                     |     181000.207      |  5.8221e 04| AAA  |    23.6735694086        -     23.7420688828       |  1s.4s - 1s.4p  |  1S  - 1P* |    |
                     |     185054.0045     |  2.317e 00 | AA   |    23.0070747295        -     23.07407365281      |  1s.3p - 1s.3d  |  3P* - 1D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     186209.0000     |  3.5879e 02| AAA  |    23.0070720049        -     23.07365535507      |  1s.3p - 1s.3d  |  3P* - 3D  |    |
                     |     186216.6201     |  5.3819e 03| AAA  |    23.0070747295        -     23.07365535507      |  1s.3p - 1s.3d  |  3P* - 3D  |    |
                     |     186224.3275     |  3.2284e 03| AAA  |    23.0070720049        -     23.07364987482      |  1s.3p - 1s.3d  |  3P* - 3D  |    |
                     |     186225.1988     |  1.2917e 04| AAA  |    23.0070720049        -     23.07364956332      |  1s.3p - 1s.3d  |  3P* - 3D  |    |
                     |     186231.9488     |  9.6851e 03| AAA  |    23.0070747295        -     23.07364987482      |  1s.3p - 1s.3d  |  3P* - 3D  |    |
